Player,Nationality,Team,Agents,RND,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD,Total Rounds Won,Total Rounds Loss
aspas,Brazil,LOUD,"Jett, Neon",80,1.04,252,1.02,69%,159,0.83,0.19,0.21,0.2,28%,,0/8,20,66,65,15,17,16,28,52
Less,Brazil,LOUD,"Viper, Killjoy",80,0.91,199.5,0.89,65%,136.7,0.71,0.2,0.04,0.11,23%,13%,2/16,26,57,64,16,3,9,28,52
tuyz,Brazil,LOUD,Omen,80,0.91,199.5,0.89,65%,136.7,0.71,0.2,0.04,0.11,23%,13%,2/16,26,57,64,16,3,9,28,52
cauanz,Brazil,LOUD,"Breach, Sova, Skye",80,0.77,170.3,0.72,63%,110.2,0.6,0.26,0.09,0.08,26%,17%,2/12,15,48,67,21,7,6,28,52
saadhak,Argentina,LOUD,"KAY/O, Viper",80,0.64,130,0.49,65%,88.1,0.4,0.4,0.05,0.13,18%,8%,1/12,10,32,65,32,4,10,28,52
YUchen,Taiwan,ASE,"Breach, KAY/O",101,1.06,206.6,0.91,75%,134.3,0.66,0.59,0.11,0.08,18%,,0/19,16,67,74,60,11,8,41,60
monk,China,ASE,"Killjoy, Viper",101,0.99,216.6,0.91,68%,153.8,0.7,0.32,0.09,0.05,20%,21%,3/14,21,71,78,32,9,5,41,60
Life,China,ASE,Jett,101,0.98,221,0.96,73%,144.1,0.78,0.15,0.23,0.13,23%,,0/8,22,79,82,15,23,13,41,60
bunt,China,ASE,"Brimstone, Harbor, Omen",101,0.83,179.8,0.79,67%,110.3,0.65,0.4,0.04,0.09,25%,,0/14,20,66,84,40,4,9,41,60
hfmi0dzjc9z7,China,ASE,"Raze, Skye, Sova",101,0.74,151.4,0.71,58%,104,0.54,0.22,0.07,0.12,24%,27%,3/11,14,55,77,22,7,12,41,60
SUYGETSU,Russia,NAVI,"Cypher, Viper, Killjoy",124,1.1,205.8,1.17,72%,144.8,0.73,0.23,0.05,0.1,33%,21%,3/14,23,91,78,28,6,12,55,69
Shao,Russia,NAVI,"Fade, Killjoy, Astra, +1",124,1.05,190.6,1.15,73%,137.4,0.73,0.22,0.06,0.08,33%,7%,2/27,34,90,78,27,8,10,55,69
cNed,Turkey,NAVI,"Jett, Raze",124,1.04,247.6,1.03,72%,157.3,0.85,0.22,0.22,0.14,23%,,0/11,27,106,103,27,27,17,55,69
ANGE1,Ukraine,NAVI,"Omen, Sova, KAY/O",124,0.9,163.2,0.7,71%,108.6,0.52,0.38,0.12,0.08,28%,9%,1/11,17,65,93,47,15,10,55,69
Zyppan,Sweden,NAVI,"KAY/O, Fade, Skye",124,0.89,163.6,0.8,70%,111.8,0.59,0.32,0.1,0.05,41%,9%,1/11,19,73,91,40,13,6,55,69
qw1,Turkey,FUT,"Jett, Neon, Raze",162,1.05,225.4,1.18,67%,142.5,0.85,0.13,0.2,0.19,28%,17%,1/6,28,137,116,21,33,31,76,86
AtaKaptan,Turkey,FUT,"Astra, Viper, Breach, +2",162,1.02,182.3,0.93,71%,118.5,0.64,0.46,0.07,0.08,26%,16%,3/19,22,104,112,75,12,13,76,86
MrFaliN,Turkey,FUT,"Skye, Omen, Sova, +2",162,0.95,174.4,0.86,69%,115,0.6,0.39,0.09,0.07,22%,19%,4/21,18,97,113,63,15,12,76,86
qRaxs,Turkey,FUT,"KAY/O, Gekko",162,0.94,206.8,0.9,77%,135.4,0.69,0.44,0.09,0.07,31%,6%,1/17,21,111,124,71,14,12,76,86
MOJJ,Turkey,FUT,"Cypher, Killjoy, Viper",162,0.91,184.8,0.98,69%,118.9,0.68,0.19,0.06,0.07,24%,10%,3/30,20,110,112,31,9,11,76,86
Sayf,Sweden,TL,"Jett, Raze",169,1.05,246,1.08,71%,158,0.82,0.23,0.19,0.19,22%,5%,1/21,26,139,129,39,32,32,75,94
nAts,Russia,TL,"Killjoy, Cypher, Viper",169,1,213.8,1.08,75%,139.6,0.77,0.15,0.1,0.04,29%,6%,1/18,26,130,120,26,17,6,75,94
soulcas,United Kingdom,TL,"Skye, Sage, Fade, +2",169,0.94,176.8,0.94,73%,117.9,0.64,0.29,0.04,0.08,34%,9%,2/23,18,109,116,49,7,13,75,94
Jamppi,Finland,TL,"Breach, Skye, Killjoy, +1",169,0.9,177.6,0.88,69%,115.3,0.63,0.34,0.05,0.11,24%,18%,3/17,18,106,121,58,9,19,75,94
Redgar,Russia,TL,Omen,169,0.78,136.1,0.69,69%,87.5,0.49,0.41,0.08,0.12,32%,11%,2/18,16,82,118,70,13,21,75,94
Munchkin,South Korea,T1,"Killjoy, Skye",173,1,209.8,0.98,67%,147,0.69,0.2,0.12,0.14,23%,7%,2/29,20,119,122,34,21,25,75,98
Carpe,South Korea,T1,"Brimstone, Breach, Skye, +1",173,0.91,176.6,0.81,68%,112.5,0.61,0.48,0.05,0.06,27%,8%,1/13,22,105,129,83,8,11,75,98
